날짜,식이구분,조식,중식,석식
2025-02-04,당뇨식,보리밥+콩나물맑은국+햄감자짜글이+계란후라이+무나물+포기김치,보리밥+콘스프+찹스테이크+표고버섯볶음+숙주나물+포기김치,잡곡밥+매생이굴국+가오리찜+양념장+김치전+깻잎세발겉절이+갓김치
2025-02-04,연식,쌀죽+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,전복죽+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,버섯죽+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-04,저염식,쌀밥+콩나물맑은국+언양식바싹불고기+계란후라이+무나물+백김치,쌀밥1/2+콘스프+돈안심찜+표고버섯볶음+숙주나물+백김치,잡곡밥+매생이굴국+가오리찜(고추분없이)+야채전+세발된장나물+백김치
2025-02-05,일반식,쌀밥+버섯들깨국+돈육숙주볶음+쥐포볶음+유채된장나물+깍두기,"찰밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+크림새우+청경채나물+포기김치
2025-02-05,당뇨식,보리밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+깍두기,"보리밥+냉이쑥된장국+전복야채버터볶음+도시락김+삼색나물(건취,무나물,고사리)+포기김치",잡곡밥+건새우미역국+치즈닭갈비+새우살볶음+청경채나물+포기김치
2025-02-05,연식,새우살죽+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"야채죽+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",소고기죽+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-05,저염식,쌀밥+버섯들깨국+돈육숙주볶음+두부전+유채된장나물+백김치,"쌀밥+냉이쑥된장국+전복야채버터볶음+콩나물무침+삼색나물(건취,무나물,고사리)+백김치",잡곡밥+건새우미역국+간장닭살볶음+새우살볶음+청경채나물+백김치
2025-02-06,일반식,쌀밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,쌀밥+콩나물김치국+한방갈비찜+피쉬너겟+칠리소스+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-06,당뇨식,보리밥+북어채무국+매콤순대볶음+만두찜+애호박나물+포기김치,보리밥+콩나물김치국+한방갈비찜+동태전+미역줄기볶음+갓김치,잡곡밥+추어탕+소고기편육+부추+맛살피망볶음+오이생채+깍두기
2025-02-06,연식,흑임자죽+북어채무국+백순대볶음+만두찜+애호박나물+백김치,쌀죽+콩나물맑은국+돈안심찜+동태전+미역줄기볶음+백김치,해물죽+시래기된장국+소고기편육+부추+맛살피망볶음+오이나물+백김치
